,index,venue,type,start_date_time,title,price,ticket_url
59,10,studiok,Bioscoop,2023-08-07 13:45:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
60,11,studiok,Bioscoop,2023-08-07 14:00:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
61,12,studiok,Bioscoop,2023-08-07 15:05:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
62,13,studiok,Bioscoop,2023-08-07 16:00:00,Barbie,12,https://studio-k.nu/film/barbie/
63,14,studiok,Bioscoop,2023-08-07 17:15:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
64,15,studiok,Bioscoop,2023-08-07 17:30:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
65,16,studiok,Bioscoop,2023-08-07 18:20:00,Barbie,12,https://studio-k.nu/film/barbie/
66,17,studiok,Bioscoop,2023-08-07 19:10:00,Barbie,12,https://studio-k.nu/film/barbie/
67,18,studiok,Bioscoop,2023-08-07 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
68,19,studiok,Bioscoop,2023-08-07 21:00:00,How to Blow Up a Pipeline,12,https://studio-k.nu/film/how-to-blow-up-a-pipeline/
69,20,studiok,Bioscoop,2023-08-07 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
70,21,studiok,Bioscoop,2023-08-08 11:50:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
71,22,studiok,Bioscoop,2023-08-08 11:55:00,Barbie,12,https://studio-k.nu/film/barbie/
72,23,studiok,Bioscoop,2023-08-08 11:55:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
73,24,studiok,Bioscoop,2023-08-08 13:45:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
74,25,studiok,Bioscoop,2023-08-08 14:15:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
75,26,studiok,Bioscoop,2023-08-08 15:05:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
76,27,studiok,Bioscoop,2023-08-08 16:00:00,Barbie,12,https://studio-k.nu/film/barbie/
77,28,studiok,Bioscoop,2023-08-08 17:15:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
78,29,studiok,Bioscoop,2023-08-08 17:45:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
79,30,studiok,Bioscoop,2023-08-08 18:20:00,Barbie,12,https://studio-k.nu/film/barbie/
80,31,studiok,Bioscoop,2023-08-08 19:10:00,Barbie,12,https://studio-k.nu/film/barbie/
81,32,studiok,Bioscoop,2023-08-08 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
82,33,studiok,Bioscoop,2023-08-08 21:15:00,Past Lives (ENG SUBS),12,https://studio-k.nu/film/past-lives-eng-subs/
83,34,studiok,Bioscoop,2023-08-08 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
84,35,studiok,Bioscoop,2023-08-09 11:40:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
85,36,studiok,Bioscoop,2023-08-09 11:50:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
86,37,studiok,Bioscoop,2023-08-09 12:10:00,Barbie,12,https://studio-k.nu/film/barbie/
87,38,studiok,Bioscoop,2023-08-09 13:45:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
88,39,studiok,Bioscoop,2023-08-09 14:30:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
89,40,studiok,Bioscoop,2023-08-09 14:50:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
90,41,studiok,Bioscoop,2023-08-09 16:00:00,Barbie,12,https://studio-k.nu/film/barbie/
91,42,studiok,Bioscoop,2023-08-09 17:00:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
92,43,studiok,Bioscoop,2023-08-09 18:00:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
93,44,studiok,Bioscoop,2023-08-09 18:20:00,Barbie,12,https://studio-k.nu/film/barbie/
94,45,studiok,Bioscoop,2023-08-09 18:55:00,Barbie,12,https://studio-k.nu/film/barbie/
