,index,start_date_time,title,price,ticket_url,type,venue
72,72,2023-09-23T17:00:00.000000Z,K.Flay,30,http://www.melkweg.nl//nl/agenda/kflay-23-09-2023,Concert,melkweg
73,73,2023-09-23T17:30:00.000000Z,Powfu,30,http://www.melkweg.nl//nl/agenda/powfu-23-09-2023,Concert,melkweg
74,74,2023-09-23T17:30:00.000000Z,Roc Marciano,30,http://www.melkweg.nl//nl/agenda/roc-marciano-23-09-2023,Concert,melkweg
75,75,2023-09-23T18:00:00.000000Z,spill tab,30,http://www.melkweg.nl//nl/agenda/spill-tab-23-09-2023,Concert,melkweg
76,76,2023-09-23T21:30:00.000000Z,OBSCUUR: FRANKY-B / NOVAH / E.A.,30,http://www.melkweg.nl//nl/agenda/obscuur-franky-b-novah-ea-23-09-2023,Concert,melkweg
77,77,2023-09-24T17:30:00.000000Z,Drukwerk,30,http://www.melkweg.nl//nl/agenda/drukwerk-24-09-2023,Concert,melkweg
78,78,2023-09-24T18:00:00.000000Z,Ron Pope,30,http://www.melkweg.nl//nl/agenda/ron-pope-24-09-2023,Concert,melkweg
79,79,2023-09-25T17:30:00.000000Z,Ben Barnes,30,http://www.melkweg.nl//nl/agenda/ben-barnes-25-09-2023,Concert,melkweg
80,80,2023-09-25T18:00:00.000000Z,Jazmin Bean,30,http://www.melkweg.nl//nl/agenda/jazmin-bean-25-09-2023,Concert,melkweg
81,81,2023-09-26T17:30:00.000000Z,Westside Boogie,30,http://www.melkweg.nl//nl/agenda/westside-boogie-26-09-2023,Concert,melkweg
82,82,2023-09-26T21:30:00.000000Z,Techno Tuesday,30,http://www.melkweg.nl//nl/agenda/techno-tuesday-26-09-2023,Concert,melkweg
83,83,2023-09-27T17:00:00.000000Z,Holly Johnson,30,http://www.melkweg.nl//nl/agenda/holly-johnson-27-09-2023,Concert,melkweg
84,84,2023-09-27T17:30:00.000000Z,Alex Serra & Totidub,30,http://www.melkweg.nl//nl/agenda/alex-serra-27-09-2023,Concert,melkweg
85,85,2023-09-27T18:00:00.000000Z,Curtis Waters,30,http://www.melkweg.nl//nl/agenda/curtis-waters-27-09-2023,Concert,melkweg
86,86,2023-09-28T17:00:00.000000Z,Highly Suspect,30,http://www.melkweg.nl//nl/agenda/highly-suspect-28-09-2023,Concert,melkweg
87,87,2023-09-28T17:00:00.000000Z,TWRP,30,http://www.melkweg.nl//nl/agenda/twrp-28-09-2023,Concert,melkweg
88,88,2023-09-28T18:00:00.000000Z,Petite Noir,30,http://www.melkweg.nl//nl/agenda/petite-noir-28-09-2023,Concert,melkweg
89,89,2023-09-29T17:00:00.000000Z,Dominic Fike,30,http://www.melkweg.nl//nl/agenda/dominic-fike-29-09-2023,Concert,melkweg
90,90,2023-09-29T18:00:00.000000Z,Ari Abdul,30,http://www.melkweg.nl//nl/agenda/ari-abdul-29-09-2023,Concert,melkweg
91,91,2023-09-29T21:30:00.000000Z,90's NOW,30,http://www.melkweg.nl//nl/agenda/90s-now-29-09-2023,Concert,melkweg
92,92,2023-09-29T21:59:00.000000Z,Vunzige Deuntjes,30,http://www.melkweg.nl//nl/agenda/vunzige-deuntjes-29-09-2023,Concert,melkweg
93,93,2023-09-30T10:00:00.000000Z,Kunstbende,30,http://www.melkweg.nl//nl/agenda/kunstbende-30-09-2023,Concert,melkweg
94,94,2023-09-30T21:59:00.000000Z,Curbi Presents: Seeing is Believing,30,http://www.melkweg.nl//nl/agenda/curbi-30-09-2023,Concert,melkweg
95,95,2023-10-02T17:30:00.000000Z,Wegz,30,http://www.melkweg.nl//nl/agenda/wegz-29-09-2023,Concert,melkweg
96,96,2023-10-03T17:00:00.000000Z,Noize MC,30,http://www.melkweg.nl//nl/agenda/noize-mc-03-10-2023,Concert,melkweg
