,index,start_date_time,title,price,ticket_url,type,venue
30,30,2023-08-26T14:15:00+02:00,A Life in Music: Simon Murphy at 50,27.5,https://www.concertgebouw.nl/en/concerts/3330338-a-life-in-music-simon-murphy-at-50,Concert,concertgebouw
31,31,2023-08-26T20:00:00+02:00,Mahler's Symphony No. 9 with Gustav Mahler Jugendorchester,25.0,https://www.concertgebouw.nl/en/concerts/2626882-mahlers-symphony-no-9-with-gustav-mahler-jugendorchester,Concert,concertgebouw
32,32,2023-08-27T14:00:00+02:00,Organ Matinee with Leo van Doeselaar,29.0,https://www.concertgebouw.nl/en/concerts/2626884-organ-matinee-with-leo-van-doeselaar,Concert,concertgebouw
33,33,2023-08-27T20:00:00+02:00,Lucas and Arthur Jussen play Mendelssohn's Double Concerto,25.0,https://www.concertgebouw.nl/en/concerts/2626883-lucas-and-arthur-jussen-play-mendelssohns-double-concerto,Concert,concertgebouw
34,34,2023-08-28T20:00:00+02:00,Ukrainian Freedom Orchestra: Beethoven's 'Eroica',25.0,https://www.concertgebouw.nl/en/concerts/2626885-ukrainian-freedom-orchestra-beethovens-eroica,Concert,concertgebouw
35,35,2023-08-29T20:00:00+02:00,John Williams in Concert,21.0,https://www.concertgebouw.nl/en/concerts/2626886-john-williams-in-concert,Concert,concertgebouw
36,36,2023-08-29T20:15:00+02:00,Masterclass Nelly Miricioiù,20.0,https://www.concertgebouw.nl/en/concerts/3251625-masterclass-nelly-miricioiù,Concert,concertgebouw
37,37,2023-08-30T20:00:00+02:00,Best Of Rossini,25.0,https://www.concertgebouw.nl/en/concerts/2626887-best-of-rossini,Concert,concertgebouw
38,38,2023-08-31T20:00:00+02:00,Last of the SummerNights: from Mozart to Bernstein,25.0,https://www.concertgebouw.nl/en/concerts/2626888-last-of-the-summer-nights-from-mozart-to-bernstein,Concert,concertgebouw
39,39,2023-09-01T20:15:00+02:00,Homayoun Shajarian with Siavosh Orchestra LIVE,59.0,https://www.concertgebouw.nl/en/concerts/3301043-homayoun-shajarian-with-siavosh-orchestra-live,Concert,concertgebouw
40,40,2023-09-03T11:00:00+02:00,Dvořák's Symphony No. 8 & Glazunov's Violin Concerto,21.0,https://www.concertgebouw.nl/en/concerts/2631809-dvořáks-symphony-no-8-glazunovs-violin-concerto,Concert,concertgebouw
41,41,2023-09-06T20:15:00+02:00,Best of Verdi: Riccardo Chailly & Orchestra e Coro Teatro alla Scala,45.0,https://www.concertgebouw.nl/en/concerts/2617656-best-of-verdi-riccardo-chailly-orchestra-e-coro-teatro-alla-scala,Concert,concertgebouw
42,42,2023-09-07T20:15:00+02:00,"Janine Jansen, Christian Thielemann & Sächsische Staatskapelle Dresden",39.0,https://www.concertgebouw.nl/en/concerts/2617657-janine-jansen-christian-thielemann-sächsische-staatskapelle-dresden,Concert,concertgebouw
43,43,2023-09-09T13:00:00+02:00,Bellini’s breakthrough opera: Il pirata,63.5,https://www.concertgebouw.nl/en/concerts/2613284-bellinis-breakthrough-opera-il-pirata,Concert,concertgebouw
44,44,2023-09-10T11:00:00+02:00,Gergely Madaras conducts Berlioz’ Symphonie fantastique,21.0,https://www.concertgebouw.nl/en/concerts/2631810-gergely-madaras-conducts-berlioz-symphonie-fantastique,Concert,concertgebouw
45,45,2023-09-11T20:15:00+02:00,Lecture by Dick Swaab and Erik Scherder (in Dutch),39.0,https://www.concertgebouw.nl/en/concerts/3444551-lecture-by-dick-swaab-and-erik-scherder-in-dutch,Concert,concertgebouw
46,46,2023-09-13T12:30:00+02:00,Free Lunchtime Concert,0.0,https://www.concertgebouw.nl/en/concerts/3298761-free-lunchtime-concert,Concert,concertgebouw
47,47,2023-09-14T20:15:00+02:00,Klaus Mäkelä conducts Mahler's Symphony No. 3,29.0,https://www.concertgebouw.nl/en/concerts/3109808-klaus-mäkelä-conducts-mahlers-symphony-no-3,Concert,concertgebouw
48,48,2023-09-15T09:30:00+02:00,Baby Concert (0 - 16 months),24.0,https://www.concertgebouw.nl/en/concerts/2625447-baby-concert-0-16-months,Concert,concertgebouw
49,49,2023-09-15T10:30:00+02:00,Baby Concert (0 - 16 months),24.0,https://www.concertgebouw.nl/en/concerts/2625445-baby-concert-0-16-months,Concert,concertgebouw
50,50,2023-09-15T11:30:00+02:00,Baby Concert (0 - 16 months),24.0,https://www.concertgebouw.nl/en/concerts/2625446-baby-concert-0-16-months,Concert,concertgebouw
51,51,2023-09-15T20:15:00+02:00,Klaus Mäkelä conducts Mahler's Symphony No. 3,29.0,https://www.concertgebouw.nl/en/concerts/3109809-klaus-mäkelä-conducts-mahlers-symphony-no-3,Concert,concertgebouw
